ingredient_code,std_name_ko,std_name_en,old_name_ko,old_name_en,as_of_date,source,ingest_date,batch_id
24596,폴리하이드록시부티레이트,Polyhydroxybutyrate,29435-48-1 26744-04-7,,,kcia,2026-03-23,kcia_2026-03-23
24595,에스에이치-올리고펩타이드-201에스피,sh-Oligopeptide-201 SP,,,,kcia,2026-03-23,kcia_2026-03-23
24594,크리세오박테리움안타르크티쿰발효여과물,Chryseobacterium Antarcticum Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24593,클로로인돌릴메틸메틸하이단토인,Chloroindolylmethyl Methylhydantoin,852391-15-2,,,kcia,2026-03-23,kcia_2026-03-23
24592,쇠물푸레나무잎추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24590,맥주효모세포외소포,,,,,kcia,2026-03-23,kcia_2026-03-23
24589,꽃여뀌잎/줄기오일,,,,,kcia,2026-03-23,kcia_2026-03-23
24588,병풀잎/줄기즙,Centella Asiatica Leaf/Stem Juice,,,,kcia,2026-03-23,kcia_2026-03-23
24587,리질락토바실러스/병풀추출물발효여과물,,,,,kcia,2026-03-23,kcia_2026-03-23
24586,오미자박가루,Schisandra Chinensis Pomace Powder,,,,kcia,2026-03-23,kcia_2026-03-23
24585,오미자박추출물,Schisandra Chinensis Pomace Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24584,에스-뮤-코노톡신씨엔3씨아세테이트,s-Mu-conotoxin CnIIIC Acetate,936616-33-0,,,kcia,2026-03-23,kcia_2026-03-23
24583,덱스트란하이드록시프로필트라이모늄/라우다이모늄클로라이드,Dextran Hydroxypropyltrimonium/Laurdimonium Chloride,,,,kcia,2026-03-23,kcia_2026-03-23
24582,인체표피알-각질형성세포/에스브이티이알티3-5세포배양액,Human Epidermal r-Keratinocyte/SVTERT3-5 Cell Conditioned Media,,,,kcia,2026-03-23,kcia_2026-03-23
24581,트리코데르마감시이발효여과물,Trichoderma Gamsii Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24580,구릿대뿌리/고본뿌리/사철쑥잎/갯방풍뿌리/감초뿌리/녹두씨/섬곽향잎/줄기/하늘타리열매추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24579,오미자/광엽발계뿌리추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24578,캐스터/올리브오일에스터즈,Castor/Olive Oil Esters,,,,kcia,2026-03-23,kcia_2026-03-23
24577,페릭아미노테레프탈레이트,,1341134-09-5,,,kcia,2026-03-23,kcia_2026-03-23
