inci_name,kor_name,eng_name,cosing_functions,status,cosmetic_restriction,other_restrictions
CAPRYLIC/CAPRIC/LINOLEIC TRIGLYCERIDE,카프릴릭/카프릭/리놀레익트라이글리세라이드,Caprylic/Capric/Linoleic Triglyceride,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
LACTOBACILLUS/ARTEMISIA PRINCEPS LEAF EXTRACT/HONEYSUCKLE FLOWER EXTRACT/PAEONIA ALBIFLORA ROOT EXTRACT/PHELLODENDRON AMURENSE BARK EXTRACT FERMENT FILTRATE,락토바실러스/쑥잎추출물/인동덩굴꽃추출물/작약뿌리추출물/황벽나무껍질추출물발효여과물,Lactobacillus/Artemisia Princeps Leaf Extract/Honeysuckle Flower Extract/Paeonia Albiflora Root Extract/Phellodendron Amurense Bark Extract Ferment Filtrate,SKIN CONDITIONING,Active,,
LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/BIFIDA/YELLOW OCHER FERMENT LYSATE EXTRACT,락토바실러스/스트렙토코쿠스써모필러스/비피다/황토발효용해추출물,Lactobacillus/Streptococcus Thermophilus/Bifida/Yellow Ocher Ferment Lysate Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
MACADAMIA SEED OIL POLYGLYCERYL-6 ESTERS BEHENATE,마카다미아씨오일폴리글리세릴-6에스터즈베헤네이트,Macadamia Seed Oil Polyglyceryl-6 Esters Behenate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,
GLYCERYL/POLYGLYCERYL-6 ISOSTEARATE/BEHENATE ESTERS,글리세릴/폴리글리세릴-6아이소스테아레이트/베헤네이트에스터,Glyceryl/Polyglyceryl-6 Isostearate/Behenate Esters,SKIN CONDITIONING - EMOLLIENT,Active,,ban substances that deplete the ozone layer
RUTIN,루틴,Rutin,ANTIOXIDANT;HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
ASPALATHUS LINEARIS EXTRACT,루이보스추출물,Aspalathus Linearis Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
ASPALATHUS LINEARIS LEAF EXTRACT,루이보스잎추출물,Aspalathus Linearis Leaf Extract,SKIN CONDITIONING,Active,,
LOTUS JAPONICUS SYMBIOSOME EXTRACT,벌노랑이뿌리혹추출물,Lotus Japonicus Symbiosome Extract,ANTIOXIDANT;SKIN CONDITIONING,Active,,
ROSIN HYDROLYZED COLLAGEN,로진하이드롤라이즈드콜라겐,Rosin Hydrolyzed Collagen,FILM FORMING;HAIR CONDITIONING;HAIR FIXING;SKIN CONDITIONING,Active,,
